topic	query	evidence	description	narrative	efficacy
1001	clomiphene citrate subfertility
1002	antibiotics common cold
1003	antibiotics purulent rhinitis
1004	magnesium sulfate asthma
1005	surgery nonarteritic anterior ischemic optic neuropathy
1006	surgery small asymptomatic abdominal aortic aneurysms
1007	screening lung cancer reduce mortality
1008	hormone therapy heart disease postmenopausal women
1009	flouride postmenopausal osteoporosis
1010	melatonin cognitive impairment
1011	antidepressants tinnitus
1012	acupuncture stroke
1013	antibiotics laryngitis
1014	magnesium traumatic brain injury
1015	magnesium sulfate persistent pulmonary hypertension newborn
1016	antipsychotics delirium
1017	steroids traumatic optic neuropathy
1018	lamotrigine chronic pain
1019	oral contraceptives functional ovarian cysts
1020	thyroid hormones kidney injury
1021	methotrexate remission maintenance ulcerative colitis
1022	beta-blockers stroke
1023	acupuncture hypoxic ischemic encephalopathy newborn
1024	topiramate neuropathic pain fibromyalgia adults
1025	muscle relaxants rheumatoid pain
1026	antibiotics diverticulitis
1027	clonazepam neuropathic pain fibromyalgia
1028	corticosteroids traumatic brain injury
1029	mammography screening breast cancer reduce mortality
1030	hyperbaric oxygen sclerosis
1031	dressings surgical site infection
1032	interferon nonresponding relapsing chronic hepatitis c
1033	acupuncture depression
1034	probiotics clostridium difficile-associated colitis
1035	fish oil kidney transplant
1036	vaccines malaria spf66
1037	hormone therapy endometriosis surgical menopause
1038	methotrexate steroid free remission
1039	speech therapy children dysarthria
1040	hypnosis dental children
1041	antioxidants female subfertility
1042	acupuncture endometriosis pain
1043	antidepressants rheumatoid arthritis pain
1044	hyperbaric oxygen therapy vascular dementia
1045	antibiotics bronchiolitis cough children
1046	antibiotics sore throat
1047	antibiotics bronchitis
1048	interferon naive chronic hepatitis c
1049	methotrexate rheumatoid arthritis
1050	antibiotics urinary tract infection women
1051	laparoscopic surgery pelvic pain associated endometriosis
1052	laparoscopic surgery subfertility associated endometriosis
1053	newborn screening cystic fibrosis
1054	low protein diets chronic kidney disease
1055	carotid endarterectomy asymptomatic carotid stenosis
1056	acupuncture peripheral joint osteoarthritis
1057	hydroxyurea sickle cell disease
1058	acyclovir varicella 
1059	methotrexate juvenile idiopathic arthritis
1060	aromatherapy dementia
1061	memantine dementia
1062	aromatase inhibitors breast cancer postmenopausal
1063	folate depressive disorders
1064	hydromorphone acute chronic pain
1065	indomethacin asymptomatic patent ductus arteriosus preterm infants
1066	exercise fibromyalgia syndrome
1067	diuretics heart failure
1068	exercise peripheral neuropathy
1069	lidocaine intubation sore throat
1070	amitriptyline depression
1071	acetaminophen osteoarthritis
1072	surgery early lung cancer
1073	hydralazine hypertension
1074	sildenafil pulmonary hypertension newborn
1075	diclofenac pain children
1076	medications mothers milk supply
1077	antidepressants schizophrenia
1078	probiotics clostridium difficile-associated diarrhea
1079	mupirocin ointment staphylococcus aureus infections nasal carriers
1080	chemotherapy cervical cancer
1081	acyclovir primary herpetic gingivostomatitis
1082	music therapy brain injury
1083	acupuncture fibromyalgia
1084	alprazolam depression
1085	gabapentin neuropathic pain
1086	surgery shoulder osteoarthritis
1087	curcumin remission ulcerative colitis
1088	antiretroviral therapy HIV transmission
1089	hormone therapy sexual function women
1090	splinting carpal tunnel syndrome
